participant_id,denominator,arrangement,decisionTime,probability,iconicity
1,10,NA,8221,70,naturalFrequency
1,100,NA,8153,100,naturalFrequency
1,100,NA,7644,90,naturalFrequency
1,100,NA,9611,50,naturalFrequency
1,100,NA,7764,30,naturalFrequency
1,100,NA,7411,80,naturalFrequency
1,10,NA,8009,20,naturalFrequency
1,10,NA,9221,80,naturalFrequency
1,100,NA,7761,10,naturalFrequency
1,10,NA,7674,60,naturalFrequency
1,10,NA,6843,10,naturalFrequency
1,10,NA,7101,30,naturalFrequency
1,100,NA,7909,70,naturalFrequency
1,10,NA,8400,90,naturalFrequency
1,10,NA,7293,40,naturalFrequency
1,100,NA,6903,20,naturalFrequency
1,100,NA,8440,60,naturalFrequency
1,10,NA,7294,50,naturalFrequency
1,100,NA,6629,40,naturalFrequency
1,10,Ordered,5108,10,square
1,10,Ordered,6324,60,square
1,10,Ordered,6381,30,square
1,100,Ordered,6380,90,square
1,10,Ordered,5795,70,square
1,100,Ordered,6555,40,square
1,10,Ordered,5954,80,square
1,100,Ordered,6711,70,square
1,10,Ordered,4631,20,square
1,10,Ordered,5815,90,square
1,100,Ordered,6322,20,square
1,10,Ordered,4974,40,square
1,100,Ordered,6430,60,square
1,10,Ordered,4976,100,square
1,10,Ordered,5095,50,square
1,100,Ordered,6098,50,square
1,100,Ordered,4856,30,square
1,100,Ordered,5520,10,square
1,100,Ordered,5356,80,square
1,10,Ordered,6747,40,house
1,10,Ordered,5225,80,house
1,100,Ordered,7244,80,house
1,10,Ordered,4758,60,house
1,100,Ordered,5174,20,house
1,100,Ordered,5083,40,house
1,10,Ordered,4143,90,house
1,10,Ordered,4778,70,house
1,100,Ordered,5461,50,house
1,10,Ordered,4826,30,house
1,10,Ordered,4298,50,house
1,100,Ordered,5328,60,house
1,100,Ordered,4809,70,house
1,100,Ordered,4221,100,house
1,10,Ordered,4827,20,house
1,100,Ordered,4409,90,house
1,100,Ordered,5143,30,house
1,10,Ordered,3979,10,house
1,100,Ordered,5067,10,house
1,10,Random,8354,80,square
1,10,Random,3909,90,square
1,100,Random,9176,70,square
1,100,Random,7124,50,square
1,100,Random,4974,10,square
1,10,Random,4251,70,square
1,100,Random,6361,20,square
1,10,Random,3716,30,square
1,10,Random,5571,40,square
1,100,Random,5727,90,square
1,100,Random,8577,40,square
1,10,Random,3841,100,square
1,10,Random,5093,60,square
1,10,Random,4634,20,square
1,100,Random,5546,80,square
1,100,Random,3511,30,square
1,10,Random,4645,50,square
1,10,Random,3764,10,square
1,100,Random,6174,60,square
1,100,Random,4731,10,house
1,100,Random,3665,100,house
1,100,Random,7325,60,house
1,100,Random,4843,90,house
1,10,Random,4788,90,house
1,10,Random,3672,40,house
1,100,Random,5184,30,house
1,100,Random,4791,40,house
1,10,Random,4395,50,house
1,10,Random,4532,30,house
1,10,Random,4082,20,house
1,10,Random,3545,80,house
1,100,Random,3914,20,house
1,100,Random,3794,80,house
1,100,Random,5188,70,house
1,100,Random,4577,50,house
1,10,Random,3977,60,house
1,10,Random,3389,10,house
1,10,Random,3496,70,house
2,100,NA,4753,0,naturalFrequency
2,100,NA,1797,90,naturalFrequency
2,100,NA,1732,80,naturalFrequency
2,10,NA,3175,70,naturalFrequency
2,10,NA,2188,40,naturalFrequency
2,100,NA,2144,40,naturalFrequency
2,10,NA,1726,50,naturalFrequency
2,100,NA,1600,10,naturalFrequency
2,100,NA,1588,70,naturalFrequency
2,10,NA,1991,20,naturalFrequency
2,100,NA,1640,20,naturalFrequency
2,10,NA,1525,30,naturalFrequency
2,10,NA,1443,80,naturalFrequency
2,10,NA,2452,10,naturalFrequency
2,100,NA,1924,50,naturalFrequency
2,100,NA,1289,60,naturalFrequency
2,100,NA,1616,30,naturalFrequency
2,10,NA,1358,90,naturalFrequency
2,10,NA,999,60,naturalFrequency
2,10,Ordered,5192,10,square
2,100,Ordered,2141,60,square
2,100,Ordered,1335,20,square
2,10,Ordered,2278,30,square
2,10,Ordered,1160,90,square
2,100,Ordered,1655,40,square
2,10,Ordered,1630,20,square
2,10,Ordered,1084,80,square
2,10,Ordered,1081,40,square
2,100,Ordered,1232,90,square
2,10,Ordered,1186,70,square
2,100,Ordered,1988,10,square
2,100,Ordered,1804,70,square
2,10,Ordered,1192,100,square
2,100,Ordered,1660,80,square
2,10,Ordered,15002,60,square
2,100,Ordered,947,50,square
2,10,Ordered,66937,50,square
2,100,Ordered,1971,30,square
2,100,Ordered,1962,70,house
2,10,Ordered,1395,30,house
2,10,Ordered,1296,20,house
2,100,Ordered,1298,50,house
2,10,Ordered,1231,50,house
2,100,Ordered,990,60,house
2,10,Ordered,1304,90,house
2,100,Ordered,1117,90,house
2,10,Ordered,1363,40,house
2,100,Ordered,1409,30,house
2,100,Ordered,1015,40,house
2,100,Ordered,1421,10,house
2,10,Ordered,1067,60,house
2,10,Ordered,1313,10,house
2,100,Ordered,1415,20,house
2,10,Ordered,2254,70,house
2,100,Ordered,1136,80,house
2,100,Ordered,1139,0,house
2,10,Ordered,2179,80,house
2,100,Random,2700,60,square
2,100,Random,887,70,square
2,100,Random,671,90,square
2,10,Random,1647,20,square
2,10,Random,1491,90,square
2,10,Random,1754,50,square
2,10,Random,780,70,square
2,100,Random,1322,80,square
2,10,Random,992,0,square
2,100,Random,1144,10,square
2,100,Random,1053,40,square
2,10,Random,1681,30,square
2,10,Random,1320,80,square
2,100,Random,1591,30,square
2,10,Random,1314,60,square
2,100,Random,2070,20,square
2,10,Random,1100,10,square
2,100,Random,1160,50,square
2,10,Random,937,40,square
2,100,Random,3753,70,house
2,100,Random,973,10,house
2,100,Random,702,90,house
2,10,Random,1289,40,house
2,10,Random,731,90,house
2,10,Random,807,50,house
2,100,Random,1370,100,house
