denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
10,1,NA,naturalFrequency,70,evacuate,8221
100,1,NA,naturalFrequency,100,evacuate,8153
100,1,NA,naturalFrequency,90,evacuate,7644
100,1,NA,naturalFrequency,50,evacuate,9611
100,1,NA,naturalFrequency,30,stay,7764
100,1,NA,naturalFrequency,80,evacuate,7411
10,1,NA,naturalFrequency,20,stay,8009
10,1,NA,naturalFrequency,80,evacuate,9221
100,1,NA,naturalFrequency,10,stay,7761
10,1,NA,naturalFrequency,60,evacuate,7674
10,1,NA,naturalFrequency,10,stay,6843
10,1,NA,naturalFrequency,30,stay,7101
100,1,NA,naturalFrequency,70,evacuate,7909
10,1,NA,naturalFrequency,90,evacuate,8400
10,1,NA,naturalFrequency,40,stay,7293
100,1,NA,naturalFrequency,20,stay,6903
100,1,NA,naturalFrequency,60,evacuate,8440
10,1,NA,naturalFrequency,50,evacuate,7294
100,1,NA,naturalFrequency,40,stay,6629
10,1,Ordered,square,10,stay,5108
10,1,Ordered,square,60,evacuate,6324
10,1,Ordered,square,30,stay,6381
100,1,Ordered,square,90,evacuate,6380
10,1,Ordered,square,70,evacuate,5795
100,1,Ordered,square,40,stay,6555
10,1,Ordered,square,80,evacuate,5954
100,1,Ordered,square,70,evacuate,6711
10,1,Ordered,square,20,stay,4631
10,1,Ordered,square,90,evacuate,5815
100,1,Ordered,square,20,stay,6322
10,1,Ordered,square,40,stay,4974
100,1,Ordered,square,60,evacuate,6430
10,1,Ordered,square,100,evacuate,4976
10,1,Ordered,square,50,evacuate,5095
100,1,Ordered,square,50,evacuate,6098
100,1,Ordered,square,30,stay,4856
100,1,Ordered,square,10,stay,5520
100,1,Ordered,square,80,evacuate,5356
10,1,Ordered,house,40,stay,6747
10,1,Ordered,house,80,evacuate,5225
100,1,Ordered,house,80,evacuate,7244
10,1,Ordered,house,60,evacuate,4758
100,1,Ordered,house,20,stay,5174
100,1,Ordered,house,40,stay,5083
10,1,Ordered,house,90,evacuate,4143
10,1,Ordered,house,70,evacuate,4778
100,1,Ordered,house,50,evacuate,5461
10,1,Ordered,house,30,stay,4826
10,1,Ordered,house,50,evacuate,4298
100,1,Ordered,house,60,evacuate,5328
100,1,Ordered,house,70,evacuate,4809
100,1,Ordered,house,100,evacuate,4221
10,1,Ordered,house,20,stay,4827
100,1,Ordered,house,90,evacuate,4409
100,1,Ordered,house,30,stay,5143
10,1,Ordered,house,10,stay,3979
100,1,Ordered,house,10,stay,5067
10,1,Random,square,80,evacuate,8354
10,1,Random,square,90,evacuate,3909
100,1,Random,square,70,evacuate,9176
100,1,Random,square,50,stay,7124
100,1,Random,square,10,stay,4974
10,1,Random,square,70,evacuate,4251
100,1,Random,square,20,stay,6361
10,1,Random,square,30,stay,3716
10,1,Random,square,40,stay,5571
100,1,Random,square,90,evacuate,5727
100,1,Random,square,40,stay,8577
10,1,Random,square,100,evacuate,3841
10,1,Random,square,60,evacuate,5093
10,1,Random,square,20,stay,4634
100,1,Random,square,80,evacuate,5546
100,1,Random,square,30,stay,3511
10,1,Random,square,50,stay,4645
10,1,Random,square,10,stay,3764
100,1,Random,square,60,evacuate,6174
100,1,Random,house,10,stay,4731
100,1,Random,house,100,evacuate,3665
100,1,Random,house,60,evacuate,7325
100,1,Random,house,90,evacuate,4843
10,1,Random,house,90,evacuate,4788
10,1,Random,house,40,stay,3672
100,1,Random,house,30,stay,5184
100,1,Random,house,40,stay,4791
10,1,Random,house,50,evacuate,4395
10,1,Random,house,30,stay,4532
10,1,Random,house,20,stay,4082
10,1,Random,house,80,evacuate,3545
100,1,Random,house,20,stay,3914
100,1,Random,house,80,evacuate,3794
100,1,Random,house,70,evacuate,5188
100,1,Random,house,50,evacuate,4577
10,1,Random,house,60,evacuate,3977
10,1,Random,house,10,stay,3389
10,1,Random,house,70,evacuate,3496
100,2,NA,naturalFrequency,0,stay,4753
100,2,NA,naturalFrequency,90,evacuate,1797
100,2,NA,naturalFrequency,80,evacuate,1732
10,2,NA,naturalFrequency,70,evacuate,3175
10,2,NA,naturalFrequency,40,evacuate,2188
100,2,NA,naturalFrequency,40,evacuate,2144
10,2,NA,naturalFrequency,50,evacuate,1726
100,2,NA,naturalFrequency,10,stay,1600
100,2,NA,naturalFrequency,70,evacuate,1588
10,2,NA,naturalFrequency,20,stay,1991
100,2,NA,naturalFrequency,20,stay,1640
10,2,NA,naturalFrequency,30,stay,1525
10,2,NA,naturalFrequency,80,evacuate,1443
10,2,NA,naturalFrequency,10,stay,2452
100,2,NA,naturalFrequency,50,evacuate,1924
100,2,NA,naturalFrequency,60,evacuate,1289
100,2,NA,naturalFrequency,30,stay,1616
10,2,NA,naturalFrequency,90,evacuate,1358
10,2,NA,naturalFrequency,60,evacuate,999
10,2,Ordered,square,10,stay,5192
100,2,Ordered,square,60,evacuate,2141
100,2,Ordered,square,20,stay,1335
10,2,Ordered,square,30,stay,2278
10,2,Ordered,square,90,evacuate,1160
100,2,Ordered,square,40,evacuate,1655
10,2,Ordered,square,20,stay,1630
10,2,Ordered,square,80,evacuate,1084
10,2,Ordered,square,40,evacuate,1081
100,2,Ordered,square,90,evacuate,1232
10,2,Ordered,square,70,evacuate,1186
100,2,Ordered,square,10,stay,1988
100,2,Ordered,square,70,evacuate,1804
10,2,Ordered,square,100,evacuate,1192
100,2,Ordered,square,80,evacuate,1660
10,2,Ordered,square,60,evacuate,15002
100,2,Ordered,square,50,evacuate,947
10,2,Ordered,square,50,evacuate,66937
100,2,Ordered,square,30,stay,1971
100,2,Ordered,house,70,evacuate,1962
10,2,Ordered,house,30,evacuate,1395
10,2,Ordered,house,20,stay,1296
100,2,Ordered,house,50,evacuate,1298
10,2,Ordered,house,50,evacuate,1231
100,2,Ordered,house,60,evacuate,990
10,2,Ordered,house,90,evacuate,1304
100,2,Ordered,house,90,evacuate,1117
10,2,Ordered,house,40,evacuate,1363
100,2,Ordered,house,30,evacuate,1409
100,2,Ordered,house,40,evacuate,1015
100,2,Ordered,house,10,stay,1421
10,2,Ordered,house,60,evacuate,1067
10,2,Ordered,house,10,stay,1313
100,2,Ordered,house,20,stay,1415
10,2,Ordered,house,70,evacuate,2254
100,2,Ordered,house,80,evacuate,1136
100,2,Ordered,house,0,stay,1139
10,2,Ordered,house,80,evacuate,2179
100,2,Random,square,60,evacuate,2700
100,2,Random,square,70,evacuate,887
100,2,Random,square,90,evacuate,671
10,2,Random,square,20,stay,1647
10,2,Random,square,90,evacuate,1491
10,2,Random,square,50,evacuate,1754
10,2,Random,square,70,evacuate,780
100,2,Random,square,80,evacuate,1322
10,2,Random,square,0,stay,992
100,2,Random,square,10,stay,1144
100,2,Random,square,40,evacuate,1053
10,2,Random,square,30,stay,1681
10,2,Random,square,80,evacuate,1320
100,2,Random,square,30,evacuate,1591
10,2,Random,square,60,evacuate,1314
100,2,Random,square,20,stay,2070
10,2,Random,square,10,stay,1100
100,2,Random,square,50,evacuate,1160
10,2,Random,square,40,evacuate,937
100,2,Random,house,70,evacuate,3753
100,2,Random,house,10,stay,973
100,2,Random,house,90,evacuate,702
10,2,Random,house,40,evacuate,1289
10,2,Random,house,90,evacuate,731
10,2,Random,house,50,evacuate,807
100,2,Random,house,100,evacuate,1370
10,2,Random,house,60,evacuate,1147
100,2,Random,house,60,evacuate,1107
10,2,Random,house,20,stay,1504
100,2,Random,house,80,evacuate,4543
