participant_id,item,iconicity,arrangement,decisionTime
S001,I01,natural,Ordered,1121.0103519725044
S002,I01,natural,Ordered,848.3685377730951
S003,I01,natural,Ordered,645.2028761499568
S004,I01,natural,Ordered,1378.5080648834007
S005,I01,natural,Ordered,234.87748511902964
S006,I01,natural,Ordered,-461.12597328716106
S007,I01,natural,Ordered,780.6053807060234
S008,I01,natural,Ordered,-106.88833525533278
S009,I01,natural,Ordered,1904.6646942095053
S010,I01,natural,Ordered,1457.166349323649
S011,I01,natural,Ordered,2473.9476725249397
S012,I01,natural,Ordered,1783.4561590241042
S013,I01,natural,Ordered,67.55388627919365
S014,I01,natural,Ordered,761.282737701852
S015,I01,natural,Ordered,837.7335765207324
S016,I01,natural,Ordered,687.8887717277859
S017,I01,natural,Ordered,1063.0756646544005
S018,I01,natural,Ordered,609.1128844086488
S019,I01,natural,Ordered,2096.0369285479314
S020,I01,natural,Ordered,1294.588302314124
S021,I01,natural,Ordered,180.58503113819052
S022,I01,natural,Ordered,138.27479381956869
S023,I01,natural,Ordered,-751.3329861271964
S024,I01,natural,Ordered,750.7631072133572
S025,I01,natural,Ordered,1600.3184472268551
S026,I01,natural,Ordered,1817.0932381417629
S027,I01,natural,Ordered,573.4668924003009
S028,I01,natural,Ordered,1984.9811142964245
S029,I01,natural,Ordered,-173.15324479632955
S030,I01,natural,Ordered,1198.415035076289
S031,I01,natural,Ordered,1527.5094004308949
S032,I01,natural,Ordered,362.65924139865115
S033,I01,natural,Ordered,-64.23736552695527
S034,I01,natural,Ordered,541.9927397090348
S035,I01,natural,Ordered,1341.2526119487802
S036,I01,natural,Ordered,693.1571019921772
S037,I01,natural,Ordered,1341.2139728119757
S038,I01,natural,Ordered,1610.8722657586427
S039,I01,natural,Ordered,476.9564973027443
S040,I01,natural,Ordered,1428.8100469650242
S041,I01,natural,Ordered,743.489551826566
S042,I01,natural,Ordered,2111.521593728124
S043,I01,natural,Ordered,2343.502419095139
S044,I01,natural,Ordered,532.0299987973063
S045,I01,natural,Ordered,1023.0347467399827
S046,I01,natural,Ordered,1528.0443641862723
S047,I01,natural,Ordered,1968.3727400421271
S048,I01,natural,Ordered,1574.1024783168154
S049,I01,natural,Ordered,-671.215086804968
S050,I01,natural,Ordered,2045.4795779338547
S051,I01,natural,Ordered,1432.0327222190874
S052,I01,natural,Ordered,376.9957527542131
S053,I01,natural,Ordered,414.2912731610784
S054,I01,natural,Ordered,1235.876389988514
S055,I01,natural,Ordered,1823.7449557448558
S056,I01,natural,Ordered,1062.4785847598446
S057,I01,natural,Ordered,1332.4059504097984
S058,I01,natural,Ordered,1212.266824033109
S059,I01,natural,Ordered,1224.8224904312735
S060,I01,natural,Ordered,1857.4556184355129
S061,I01,natural,Ordered,1691.3006026266594
S062,I01,natural,Ordered,1177.931218354859
S063,I01,natural,Ordered,1595.943381590012
S064,I01,natural,Ordered,3033.8295729582564
S065,I01,natural,Ordered,2140.4470191766886
S066,I01,natural,Ordered,2144.7310055623875
S067,I01,natural,Ordered,1684.2216325024117
S068,I01,natural,Ordered,1934.7994713525973
S069,I01,natural,Ordered,1005.1645643220302
S070,I01,natural,Ordered,1467.6632209572342
S071,I01,natural,Ordered,-54.477498881057045
S072,I01,natural,Ordered,1934.3061333366495
S073,I01,natural,Ordered,1116.2367465142506
S074,I01,natural,Ordered,1322.1258464495181
S075,I01,natural,Ordered,286.14901295832715
S076,I01,natural,Ordered,557.1356384542615
S077,I01,natural,Ordered,1214.937606030286
S078,I01,natural,Ordered,810.3580717810314
S079,I01,natural,Ordered,164.90042849848192
S080,I01,natural,Ordered,1327.8353497918831
S081,I01,natural,Ordered,375.9085048284262
S082,I01,natural,Ordered,1681.5783506933365
S083,I01,natural,Ordered,1646.3670933557228
S084,I01,natural,Ordered,1115.0333784298266
S085,I01,natural,Ordered,1404.6966820165133
S086,I01,natural,Ordered,1076.5965367640379
S087,I01,natural,Ordered,668.2262174659445
S088,I01,natural,Ordered,-186.86456684305995
S089,I01,natural,Ordered,1520.052772698137
S090,I01,natural,Ordered,1806.8934161829088
S091,I01,natural,Ordered,-357.9135482037773
S092,I01,natural,Ordered,1216.4244869062002
S093,I01,natural,Ordered,1087.6416895943746
S094,I01,natural,Ordered,1480.9394990316505
S095,I01,natural,Ordered,1291.4811221470152
S096,I01,natural,Ordered,362.9269594687819
S097,I01,natural,Ordered,2048.6921883459504
S098,I01,natural,Ordered,683.0216323513822
S099,I01,natural,Ordered,2084.9954212002326
S100,I01,natural,Ordered,1116.3167187377567
S101,I01,natural,Ordered,420.03537506542045
S102,I01,natural,Ordered,553.423175775172
S103,I01,natural,Ordered,1681.571184181376
S104,I01,natural,Ordered,173.27042115773406
S105,I01,natural,Ordered,476.560279283956
S106,I01,natural,Ordered,1333.2027156512427
S107,I01,natural,Ordered,2623.3972016241614
S108,I01,natural,Ordered,1067.9298187163
S109,I01,natural,Ordered,1595.2091254533427
S110,I01,natural,Ordered,2119.2949737042363
S111,I01,natural,Ordered,1676.1900172633448
S112,I01,natural,Ordered,1251.7051818625162
S113,I01,natural,Ordered,1171.295879181446
S114,I01,natural,Ordered,644.9451965243258
S115,I01,natural,Ordered,53.20257893794201
S116,I01,natural,Ordered,-569.8173870769308
S117,I01,natural,Ordered,76.98348759276382
S118,I01,natural,Ordered,635.2478473607113
S119,I01,natural,Ordered,2494.2918970131386
S120,I01,natural,Ordered,713.1672213852723
S121,I01,natural,Ordered,70.37306039987061
S122,I01,natural,Ordered,44.86081636165727
S123,I01,natural,Ordered,1306.2857120662616
S124,I01,natural,Ordered,59.52559460135126
S125,I01,natural,Ordered,777.416634473039
S126,I01,natural,Ordered,1084.1802391346343
S127,I01,natural,Ordered,2259.412508230945
S128,I01,natural,Ordered,887.1910518697882
S129,I01,natural,Ordered,1813.7308274456977
S130,I01,natural,Ordered,2410.2852595371464
S131,I01,natural,Ordered,2408.566112547602
S132,I01,natural,Ordered,1670.030903622824
S133,I01,natural,Ordered,573.4498684250086
S134,I01,natural,Ordered,1154.797790695045
S135,I01,natural,Ordered,410.69193470893254
S136,I01,natural,Ordered,671.2218653367962
S137,I01,natural,Ordered,1291.3898274407723
S138,I01,natural,Ordered,-214.03944380768212
S139,I01,natural,Ordered,-62.93541340622596
S140,I01,natural,Ordered,2195.77696316424
S141,I01,natural,Ordered,418.75389339056994
S142,I01,natural,Ordered,1963.3773311974264
S143,I01,natural,Ordered,1827.054416739153
S144,I01,natural,Ordered,770.4877754626573
S145,I01,natural,Ordered,1615.899672840144
S146,I01,natural,Ordered,159.2432640103159
S147,I01,natural,Ordered,2455.435520389322
S001,I02,house,Ordered,1151.996387658407
S002,I02,house,Ordered,787.4627840343575
S003,I02,house,Ordered,1681.3551725350385
S004,I02,house,Ordered,407.02058580572884
S005,I02,house,Ordered,145.24244271784892
S006,I02,house,Ordered,39.035969125668316
S007,I02,house,Ordered,1093.951451579874
S008,I02,house,Ordered,-595.9366180446509
S009,I02,house,Ordered,689.1425997829475
S010,I02,house,Ordered,894.4601088380241
S011,I02,house,Ordered,1999.076052559164
S012,I02,house,Ordered,708.6686213027134
S013,I02,house,Ordered,205.66987636924773
S014,I02,house,Ordered,1242.65901949633
S015,I02,house,Ordered,593.8326653540823
S016,I02,house,Ordered,1142.489014460512
S017,I02,house,Ordered,722.4467448945693
S018,I02,house,Ordered,77.74535720667723
S019,I02,house,Ordered,-3.641551093481212
S020,I02,house,Ordered,513.1220126008482
S021,I02,house,Ordered,171.4342099360647
S022,I02,house,Ordered,1496.3795523583294
S023,I02,house,Ordered,1370.671751097638
S024,I02,house,Ordered,315.65691842753995
S025,I02,house,Ordered,1345.8837098972067
S026,I02,house,Ordered,1004.697029763185
S027,I02,house,Ordered,-256.1567072261996
S028,I02,house,Ordered,955.9356373534138
S029,I02,house,Ordered,-218.6874831142302
S030,I02,house,Ordered,742.2711733563428
S031,I02,house,Ordered,1675.424102278433
S032,I02,house,Ordered,250.10298361721266
S033,I02,house,Ordered,-883.6252128794699
S034,I02,house,Ordered,813.1475725640943
S035,I02,house,Ordered,1016.3167759026987
S036,I02,house,Ordered,1242.1087795102458
S037,I02,house,Ordered,1837.7991512423534
S038,I02,house,Ordered,1069.042705171199
S039,I02,house,Ordered,-122.38963437901566
S040,I02,house,Ordered,1213.4779738176046
S041,I02,house,Ordered,746.750884822921
S042,I02,house,Ordered,2217.089900044032
S043,I02,house,Ordered,1560.5274185263509
S044,I02,house,Ordered,-93.03438157485243
S045,I02,house,Ordered,3008.0533380808974
S046,I02,house,Ordered,1212.8148969789675
S047,I02,house,Ordered,1742.3379929632524
S048,I02,house,Ordered,985.4947701452136
S049,I02,house,Ordered,396.658656653389
S050,I02,house,Ordered,1906.1587127248736
S051,I02,house,Ordered,212.59397648032518
S052,I02,house,Ordered,957.4775617936505
S053,I02,house,Ordered,53.958569244653745
S054,I02,house,Ordered,-88.80910182926186
S055,I02,house,Ordered,2757.9352509865184
S056,I02,house,Ordered,1154.9830435098863
S057,I02,house,Ordered,394.8416240573756
S058,I02,house,Ordered,1683.3286155921742
S059,I02,house,Ordered,1356.989180111411
S060,I02,house,Ordered,1825.6837458783937
S061,I02,house,Ordered,-39.79920442901539
S062,I02,house,Ordered,615.5855805305018
S063,I02,house,Ordered,1186.5299402441133
S064,I02,house,Ordered,3393.2291871559264
S065,I02,house,Ordered,-526.0206582010269
S066,I02,house,Ordered,2292.2131115108577
S067,I02,house,Ordered,1456.3757189912774
S068,I02,house,Ordered,1058.2506128036032
S069,I02,house,Ordered,425.82859712903223
S070,I02,house,Ordered,1821.770595697975
S071,I02,house,Ordered,224.56694995017688
S072,I02,house,Ordered,1848.9034958557645
S073,I02,house,Ordered,843.8571910034442
S074,I02,house,Ordered,2189.6812149079883
S075,I02,house,Ordered,558.3362180825613
S076,I02,house,Ordered,734.1236305931536
S077,I02,house,Ordered,723.1248196174828
S078,I02,house,Ordered,61.611856346549075
S079,I02,house,Ordered,901.7339557515206
S080,I02,house,Ordered,1253.6384752506915
S081,I02,house,Ordered,1936.1350873926135
S082,I02,house,Ordered,1016.481224717129
S083,I02,house,Ordered,891.932289462934
S084,I02,house,Ordered,736.1712135231161
S085,I02,house,Ordered,899.7345011524387
S086,I02,house,Ordered,299.30616317613067
S087,I02,house,Ordered,-598.0434611258092
S088,I02,house,Ordered,627.1445515144846
S089,I02,house,Ordered,668.5485741146526
S090,I02,house,Ordered,1481.0332467826713
S091,I02,house,Ordered,425.092106969066
S092,I02,house,Ordered,445.0662559828852
S093,I02,house,Ordered,1691.7926546942497
S094,I02,house,Ordered,1800.8373030819425
S095,I02,house,Ordered,156.80481314854865
S096,I02,house,Ordered,1046.9691709808408
S097,I02,house,Ordered,1910.3705967492554
S098,I02,house,Ordered,-122.6904300180986
S099,I02,house,Ordered,1636.707867638751
S100,I02,house,Ordered,1299.1169484911534
S101,I02,house,Ordered,-391.9360379105342
