room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7935870,1471,41848444,Shared room,,Berlin,,Mitte,0,0.0,3,1.0,,71.0,,Moabiter Schlummermutter,2017-07-25 07:33:11.130011,52.524177,13.333871,0101000020E6100000672AC423F1AA2A405F28603B18434A40
18339755,1471,2310164,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,2,1.0,,70.0,,QUIET HIDEAWAY IN GORGEOUS NEIGHBOURHOOD,2017-07-25 07:33:11.126913,52.501426,13.304605,0101000020E61000006B65C22FF59B2A409BAE27BA2E404A40
8135806,1471,21857190,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,1,1.0,,72.0,,Hotel Pension Messe Estimated 1 bed,2017-07-25 07:33:11.118463,52.506546,13.29183,0101000020E6100000BDFBE3BD6A952A40B6F5D37FD6404A40
16610057,1471,99254090,Shared room,,Berlin,,Pankow,0,0.0,2,1.0,,78.0,,Gemütliche 1-Zimmerwohnung,2017-07-25 07:33:11.116341,52.534989,13.425347,0101000020E610000047E7FC14C7D92A40215C01857A444A40
4718249,1471,7908994,Shared room,,Berlin,,Mitte,0,0.0,3,1.0,,72.0,,Cozy central apartment,2017-07-25 07:33:11.113631,52.53572,13.396983,0101000020E6100000CD22145B41CB2A4014E8137992444A40
6427854,1471,33263166,Shared room,,Berlin,,Friedrichshain-Kreuzberg,10,5.0,2,1.0,,74.0,,Charming bright apartment,2017-07-25 07:33:11.111386,52.51539,13.454919,0101000020E610000076A8A624EBE82A40BC57AD4CF8414A40
5246999,1471,7201404,Shared room,,Berlin,,Friedrichshain-Kreuzberg,32,5.0,2,1.0,,71.0,,"Central Kreuzberg, sunny, balcony",2017-07-25 07:33:11.108533,52.485371,13.406678,0101000020E610000060014C1938D02A40A2B60DA3203E4A40
17291212,1471,109995917,Shared room,,Berlin,,Mitte,2,0.0,8,1.0,,72.0,,6-bed room with Ensuite Bathroom Nr. 3,2017-07-25 07:33:11.106370,52.560777,13.386144,0101000020E6100000DF1797AAB4C52A40ACAC6D8AC7474A40
18832223,1471,131140610,Shared room,,Berlin,,Pankow,1,0.0,1,1.0,,79.0,,Looking for a ROOMATE,2017-07-25 07:33:11.103736,52.54075,13.413884,0101000020E6100000E2AC889AE8D32A40F0A7C64B37454A40
20008566,1471,38540571,Shared room,,Berlin,,Mitte,0,0.0,2,1.0,,72.0,,"Sonnige, ruhige Zimmer mit Balkon an der Spree",2017-07-25 07:33:11.099566,52.509343,13.426147,0101000020E6100000B89388F02FDA2A4028B9C32632414A40
15131252,1471,91879127,Shared room,,Berlin,,Mitte,1,0.0,1,1.0,,42.0,,"Cozy, central and typical B!",2017-07-25 07:33:09.724242,52.523283,13.349733,0101000020E6100000F8A92A3410B32A40C1C6F5EFFA424A40
4854851,1471,7772115,Shared room,,Berlin,,Mitte,0,0.0,1,1.0,,42.0,,nice room in mitte' berlin,2017-07-25 07:33:09.721606,52.529811,13.397587,0101000020E610000027A1F48590CB2A40D107CBD8D0434A40
